Household
Date;P # (MW)
2014-01-01 00:00:00;305.63e-6
2014-01-01 00:15:00;303.97e-6
2014-01-01 00:30:00;309.16e-6
2014-01-01 00:45:00;320.81e-6
2014-01-01 01:00:00;332.69e-6
2014-01-01 01:15:00;347.84e-6
2014-01-01 01:30:00;358.82e-6
2014-01-01 01:45:00;370.45e-6
2014-01-01 02:00:00;378.99e-6
2014-01-01 02:15:00;383.02e-6
2014-01-01 02:30:00;384.52e-6
2014-01-01 02:45:00;380.99e-6
2014-01-01 03:00:00;369.04e-6
2014-01-01 03:15:00;350.23e-6
2014-01-01 03:30:00;327.21e-6
2014-01-01 03:45:00;306.76e-6
2014-01-01 04:00:00;295.22e-6
2014-01-01 04:15:00;281.23e-6
2014-01-01 04:30:00;271.77e-6
2014-01-01 04:45:00;259.51e-6
2014-01-01 05:00:00;248.55e-6
2014-01-01 05:15:00;244.54e-6
2014-01-01 05:30:00;248.77e-6
2014-01-01 05:45:00;265.43e-6
2014-01-01 06:00:00;299.34e-6
2014-01-01 06:15:00;337.77e-6
2014-01-01 06:30:00;403.79e-6
2014-01-01 06:45:00;418.56e-6
2014-01-01 07:00:00;458.32e-6
2014-01-01 07:15:00;494.86e-6
2014-01-01 07:30:00;558.44e-6
2014-01-01 07:45:00;606.81e-6
2014-01-01 08:00:00;659.72e-6
2014-01-01 08:15:00;710.16e-6
2014-01-01 08:30:00;725.31e-6
2014-01-01 08:45:00;744.38e-6
2014-01-01 09:00:00;754.23e-6
2014-01-01 09:15:00;768.92e-6
2014-01-01 09:30:00;780.77e-6
2014-01-01 09:45:00;793.40e-6
2014-01-01 10:00:00;809.18e-6
2014-01-01 10:15:00;830.37e-6
2014-01-01 10:30:00;852.47e-6
2014-01-01 10:45:00;886.29e-6
2014-01-01 11:00:00;931.75e-6
2014-01-01 11:15:00;999.73e-6
2014-01-01 11:30:00;1007.12e-6
2014-01-01 11:45:00;965.50e-6
2014-01-01 12:00:00;881.55e-6
2014-01-01 12:15:00;796.66e-6
2014-01-01 12:30:00;745.01e-6
2014-01-01 12:45:00;720.47e-6
2014-01-01 13:00:00;692.64e-6
2014-01-01 13:15:00;675.53e-6
2014-01-01 13:30:00;665.02e-6
2014-01-01 13:45:00;661.80e-6
2014-01-01 14:00:00;664.48e-6
2014-01-01 14:15:00;666.90e-6
2014-01-01 14:30:00;668.06e-6
2014-01-01 14:45:00;668.49e-6
2014-01-01 15:00:00;667.69e-6
2014-01-01 15:15:00;666.78e-6
2014-01-01 15:30:00;669.32e-6
2014-01-01 15:45:00;675.03e-6
2014-01-01 16:00:00;686.50e-6
2014-01-01 16:15:00;693.76e-6
2014-01-01 16:30:00;722.34e-6
2014-01-01 16:45:00;747.64e-6
2014-01-01 17:00:00;776.13e-6
2014-01-01 17:15:00;797.54e-6
2014-01-01 17:30:00;818.88e-6
2014-01-01 17:45:00;837.87e-6
2014-01-01 18:00:00;856.31e-6
2014-01-01 18:15:00;863.50e-6
2014-01-01 18:30:00;875.34e-6
2014-01-01 18:45:00;869.53e-6
2014-01-01 19:00:00;853.69e-6
2014-01-01 19:15:00;828.15e-6
2014-01-01 19:30:00;785.59e-6
2014-01-01 19:45:00;763.63e-6
2014-01-01 20:00:00;751.80e-6
2014-01-01 20:15:00;729.09e-6
2014-01-01 20:30:00;702.23e-6
2014-01-01 20:45:00;683.58e-6
2014-01-01 21:00:00;657.92e-6
2014-01-01 21:15:00;630.58e-6
2014-01-01 21:30:00;596.57e-6
2014-01-01 21:45:00;557.17e-6
2014-01-01 22:00:00;510.12e-6
2014-01-01 22:15:00;458.43e-6
2014-01-01 22:30:00;409.72e-6
2014-01-01 22:45:00;364.99e-6
2014-01-01 23:00:00;326.96e-6
2014-01-01 23:15:00;289.89e-6
2014-01-01 23:30:00;270.71e-6
2014-01-01 23:45:00;257.73e-6
2014-01-02 00:00:00;232.47e-6
2014-01-02 00:15:00;236.83e-6
2014-01-02 00:30:00;251.47e-6
2014-01-02 00:45:00;269.28e-6
2014-01-02 01:00:00;287.61e-6
2014-01-02 01:15:00;306.91e-6
2014-01-02 01:30:00;323.95e-6
2014-01-02 01:45:00;339.14e-6
